assetidhub,servicing_transfer_duration,pre_fc_duration,fc_duration_state_avg,renovation_duration,reo_marketing_duration,dil_duration,reconciled_rehab_cost,total_property_tax,total_insurance,total_hoa,total_utility,broker_fees,am_liq_fees,trashout_cost,fc_expenses,dil_fees,acq_costs,servicing_fc,servicing_liq_fee,expected_gross_proceeds,purchase_price,bid_pct_upb,bid_pct_td,bid_pct_sellerasis,expected_exit_date,expected_net_proceeds,expected_pl,expected_moic,expected_irr,outcome_dil_asis,outcome_dil_arv,outcome_reo_arv,outcome_reo_asis,purchase_date,expected_pv
6214,1,2,6,4,4,3,35000,4908.333333,791.6666667,0,800,41520," 7,785 ",,2025,3750,400,1304.5,," 519,000 ",304165.1,1.477083014,0.561985915,0.73292788,04/2027," 415,668.00 ",111502.93,1.35x,0.197938615,0,0.5,0.5,0,10/9/2025,327161.0443
6215,1,2,6,,4,3,,6406.666667,1033.333333,0,400,59200," 11,100 ",5475,2025,3750,400,1088.5,," 740,000 ",480199.2,0.789246218,0.429595991,0.466212768,12/2026," 641,879.00 ",161679.8494,1.31x,0.238394552,0.5,0,0,0.5,10/9/2025,532194.6384
6216,1,2,7,4,4,3,25000,3901.625,8575,0,800,23200," 4,350 ",,2000,3750,400,1340.5,," 290,000 ",169334.6,1.264878808,0.377578984,0.651286731,04/2027," 214,774.06 ",45439.5125,1.30x,0.141754514,0,0.5,0.5,0,10/9/2025,167505.2391
6217,1,2,7,,4,3,,3158.458333,6941.666667,0,400,18760," 3,518 ",1732.5,2000,3750,400,1178.5,," 234,500 ",157179.5,1.416656474,0.790595351,0.698575533,01/2027," 190,587.19 ",33407.6925,1.33x,0.136502224,0.5,0,0,0.5,10/9/2025,154808.8277
6218,1,2,7,,4,3,,3803.041667,8358.333333,0,400,22560," 4,230 ",2085,2000,3750,400,1178.5,," 282,000 ",167350.3,1.171667157,0.416747282,0.51492403,01/2027," 230,742.81 ",63392.50285,1.33x,0.238533789,0.5,0,0,0.5,10/9/2025,187654.8611
6219,1,2,7,4,4,3,200000,7166.25,15750,0,800,60800," 11,400 ",,2000,3750,400,1340.5,," 760,000 ",323637.1,0.889925712,0.346981333,0.703558804,04/2027," 450,730.13 ",127093.075,1.25x,0.196424645,0,0.5,0.5,0,10/9/2025,349064.0203
6220,1,2,7,,4,3,,3545.208333,7791.666667,0,400,21080," 3,953 ",1950,2000,3750,400,1178.5,," 263,500 ",179805.2,1.793170999,0.737206171,0.67851026,01/2027," 215,124.31 ",35319.0935,1.31x,0.127008873,0.5,0,0,0.5,10/9/2025,174881.2107
6221,1,2,7,4,4,3,35000,4379.375,9625,0,800,28480," 5,340 ",,2000,3750,400,1340.5,," 356,000 ",159329.8,2.097955212,0.876721372,0.579381,04/2027," 262,425.44 ",103095.6625,1.32x,0.320485479,0,0.5,0.5,0,10/9/2025,204934.9816
6222,1,2,7,,4,3,,13794.08333,30316.66667,0,400,82040," 15,383 ",7582.5,2000,3750,400,1178.5,," 1,025,500 ",746724.6,1.593348685,0.578168726,0.74672455,01/2027," 859,589.38 ",112864.825,1.34x,0.100782436,0.5,0,0,0.5,10/9/2025,702057.4406
6223,1,2,7,4,4,3,35000,3742.375,8225,0,800,22400," 4,200 ",,2000,3750,400,1340.5,," 280,000 ",169414.2,1.393094236,0.629602524,0.594435754,11/2026," 196,296.94 ",26882.7475,1.23x,0.114067096,0,0.5,0.5,0,10/9/2025,162523.5533
6224,1,2,7,4,4,3,120000,5812.625,12775,0,800,41440," 7,770 ",,2000,3750,400,1340.5,," 518,000 ",214858.6,1.035833921,0.556520549,0.538492854,04/2027," 318,159.56 ",103300.9139,1.26x,0.236351258,0,0.5,0.5,0,10/9/2025,246406.6043
6225,1,2,6,4,4,3,15000,3986.268,4025,0,960,32920," 6,173 ",,2250,3750,400,1304.5,," 411,500 ",259080.9,1.633100738,0.694131865,0.719669072,04/2027," 336,817.01 ",77736.1477,1.34x,0.163498718,0,0.5,0.5,0,10/9/2025,264939.7259
6226,1,2,6,,4,3,,5083.936,5133.333333,0,480,45000," 8,438 ",4245,2250,3750,400,1088.5,," 562,500 ",398217.9,1.243247891,0.61515747,0.796435838,12/2026," 481,352.27 ",83134.35133,1.30x,0.148693138,0.5,0,0,0.5,10/9/2025,398472.7479
6227,1,2,6,4,4,3,5000,680.6083333,5741.666667,0,1440,24160," 4,530 ",,1175,3750,400,1259.5,," 302,000 ",172851.6,1.7831311,0.714222084,0.735538544,04/2027," 251,164.34 ",78312.781,1.34x,0.24031958,0,0.5,0.5,0,10/9/2025,197590.3798
6228,1,2,6,,4,3,,503.3933333,4246.666667,0,720,19760," 3,705 ",1860,1175,3750,400,1043.5,," 247,000 ",154373.0,1.454674343,0.604582397,0.857627908,12/2026," 207,670.82 ",53297.79537,1.33x,0.23810156,0.5,0,0,0.5,10/9/2025,171472.3214
6229,1,2,6,,4,3,,1730.029333,14594.66667,0,720,68000," 12,750 ",6390,1175,3750,400,1043.5,," 850,000 ",547260.9,1.179514518,0.501486726,0.68407615,12/2026," 731,982.10 ",184721.1777,1.30x,0.238301462,0.5,0,0,0.5,10/9/2025,606621.2412
6230,1,2,4,,4,3,,9625,3850,0,800,85960," 16,118 ",8025,1250,3750,400,908.5,," 1,074,500 ",725940.6,1.584393858,0.596092659,1.008390849,10/2026," 933,516.50 ",207575.9277,1.32x,0.236729604,0.5,0,0,0.5,10/9/2025,792703.8087
6231,1,2,5,4,4,3,100000,612.75,12112.5,1140,1440,45320," 8,498 ",,4000,3750,400,1214.5,," 566,500 ",298650.0,0.823496845,0.341055598,1.1946,03/2027," 382,712.63 ",84062.625,1.26x,0.15452767,0,0.5,0.5,0,10/9/2025,301346.9662
6232,1,2,5,4,4,3,200000,476.5833333,9420.833333,0,1440,54160," 10,155 ",,4000,3750,400,1214.5,," 677,000 ",298650.0,0.677220114,0.290166876,1.002181208,03/2027," 385,473.54 ",86823.54167,1.20x,0.152686292,0,0.5,0.5,0,10/9/2025,300575.9878
6233,1,2,5,,4,3,,322.5,6375,0,720,24040," 4,508 ",2257.5,4000,3750,400,998.5,," 300,500 ",189425.6,1.159163491,0.482366497,0.757702239,11/2026," 250,351.00 ",60925.44028,1.25x,0.23721481,0.5,0,0,0.5,10/9/2025,208923.9411
