Servicer ID,Entity
646031,"AFL Mortgage, LLC"
646071,"AFL Mortgage, LLC"
646149,"AFL Mortgage, LLC"
646127,"AFL Mortgage, LLC"
646132,"AFL Mortgage, LLC"
646158,"AFL Mortgage, LLC"
646169,"AFL Mortgage, LLC"
646242,"AFL Mortgage, LLC"
646251,"AFL Mortgage, LLC"
646280,"AFL Mortgage, LLC"
646301,"AFL Mortgage, LLC"
646312,"AFL Mortgage, LLC"
646347,"AFL Mortgage, LLC"
646356,"AFL Mortgage, LLC"
646370,"AFL Mortgage, LLC"
646422,"AFL Mortgage, LLC"
646482,"AFL Mortgage, LLC"
646536,"AFL Mortgage, LLC"
627159,"AFL Mortgage, LLC"
646518,"AFL Mortgage, LLC"
656850,"AFL Mortgage, LLC"
673433,"AFL Mortgage, LLC"
673440,"AFL Mortgage, LLC"
673459,"AFL Mortgage, LLC"
673460,"AFL Mortgage, LLC"
627478,"AFL Mortgage, LLC"
627915,"AFL Mortgage, LLC"
644220,"AFL Mortgage, LLC"
627665,"AFL Mortgage, LLC"
627726,"AFL Mortgage, LLC"
644103,"AFL Mortgage, LLC"
644132,"AFL Mortgage, LLC"
644370,"AFL Mortgage, LLC"
645126,"AFL Mortgage, LLC"
644464,"AFL Mortgage, LLC"
644608,"AFL Mortgage, LLC"
644851,"AFL Mortgage, LLC"
645092,"AFL Mortgage, LLC"
645289,"AFL Mortgage, LLC"
645384,"AFL Mortgage, LLC"
645580,"AFL Mortgage, LLC"
645607,"AFL Mortgage, LLC"
2000026289,"AFL Mortgage, LLC"
2000026350,"AFL Mortgage, LLC"
2000026365,"AFL Mortgage, LLC"
645913,"AFL Mortgage, LLC"
646002,"AFL Mortgage, LLC"
646392,"AFL Mortgage, LLC"
646507,"AFL Mortgage, LLC"
673415,"AFL Mortgage, LLC"
626765,"AFL Mortgage, LLC"
626635,"AFL Mortgage, LLC"
2000026292,"AFL Mortgage, LLC"
2000026294,"AFL Mortgage, LLC"
2000026300,"AFL Mortgage, LLC"
2000026301,"AFL Mortgage, LLC"
2000026306,"AFL Mortgage, LLC"
626738,"AFL Mortgage, LLC"
626930,"AFL Mortgage, LLC"
626985,"AFL Mortgage, LLC"
626778,"AFL Mortgage, LLC"
626840,"AFL Mortgage, LLC"
626860,"AFL Mortgage, LLC"
626888,"AFL Mortgage, LLC"
626895,"AFL Mortgage, LLC"
626947,"AFL Mortgage, LLC"
627014,"AFL Mortgage, LLC"
625353,"AFL Mortgage, LLC"
625429,"AFL Mortgage, LLC"
625434,"AFL Mortgage, LLC"
625689,"AFL Mortgage, LLC"
625849,"AFL Mortgage, LLC"
626084,"AFL Mortgage, LLC"
626378,"AFL Mortgage, LLC"
627027,"AFL Mortgage, LLC"
625858,"AFL Mortgage, LLC"
626662,"AFL Mortgage, LLC"
625269,"AFL Mortgage, LLC"
625450,"AFL Mortgage, LLC"
625461,"AFL Mortgage, LLC"
626420,"AFL Mortgage, LLC"
626642,"AFL Mortgage, LLC"
627058,"AFL Mortgage, LLC"
2000026281,"AFL Mortgage, LLC"
2000026330,"AFL Mortgage, LLC"
2000026363,"AFL Mortgage, LLC"
646437,"AFL Mortgage, LLC"
656861,"AFL Mortgage, LLC"
2000026288,"AFL Mortgage, LLC"
2000026290,"AFL Mortgage, LLC"
2000026293,"AFL Mortgage, LLC"
2000026295,"AFL Mortgage, LLC"
2000026296,"AFL Mortgage, LLC"
2000026297,"AFL Mortgage, LLC"
2000026298,"AFL Mortgage, LLC"
2000026308,"AFL Mortgage, LLC"
2000026313,"AFL Mortgage, LLC"
2000026322,"AFL Mortgage, LLC"
2000026328,"AFL Mortgage, LLC"
2000026331,"AFL Mortgage, LLC"
2000026339,"AFL Mortgage, LLC"
2000026359,"AFL Mortgage, LLC"
2000026361,"AFL Mortgage, LLC"
625249,"AFL Mortgage, LLC"
